State,County,Total_Population,Pop_Density,Land_Area,Total_Households,Low_Income(<50000),Average_Income(50k-100k),High_Income(100k+),White_only,Black_only,Native_American_only,Asian_only,Pacific_Islander_only,Other_Race_only,Mixed_Race,Non-Hispanic,Hispanic,Total_Deaths,Total_Cases,People_of_Color,POC%,H%,LI%,HI%,High_High-Income,High_Low-Income,Pop_density_size,Hispanic_Representation
Alabama,Walker,64493,50.66148112,1273.018447,25036,14248,7207,3581,58547,4007,109,319,0,338,1173,62948,1545,13110,409006,5946,9.2,2.395608826,56.9,14.3,No,Yes,Medium,Hispanics Not Proportionatley Represented
Alabama,Washington,16643,9.573653537,1738.416785,6007,3598,1625,784,11003,4086,1227,62,0,5,260,16461,182,2433,98101,5640,33.9,1.093552845,59.9,13.1,No,Yes,Small,Hispanics Not Proportionatley Represented
Alabama,Wilcox,10809,7.564860338,1428.843299,3804,2726,801,277,2903,7511,22,0,0,57,316,10739,70,2300,94972,7906,73.1,0.647608474,71.7,7.3,No,Yes,Small,Hispanics Not Proportionatley Represented
Alabama,Winston,23875,24.20168642,986.5015017,9403,5765,2695,943,23001,90,93,31,9,161,490,23141,734,2173,131006,874,3.7,3.07434555,61.3,10,No,Yes,Small,Hispanics Not Proportionatley Represented
Alaska,Aleutians East,3425,0.304672745,11241.57004,860,304,299,257,605,144,1349,878,25,159,265,3079,346,0,866,2820,82.3,10.10218978,35.3,29.9,Yes,Yes,Small,Hispanics Not Proportionatley Represented
Alaska,Aleutians West,5750,0.813046593,7072.165418,1176,258,445,473,1699,246,651,2300,148,314,392,4952,798,0,1082,4051,70.5,13.87826087,21.9,40.2,Yes,No,Small,Hispanics Not Proportionatley Represented
Alaska,Anchorage,296112,107.8016372,2746.822848,106524,28762,34097,43665,186522,16439,21876,28445,6890,6813,29127,269265,26847,5708,985927,109590,37,9.066501864,27,41,Yes,Yes,Medium,Hispanics Not Proportionatley Represented
Alaska,Bethel,18040,0.275889421,65388.51668,4558,2120,1277,1161,1986,119,14927,187,3,124,694,17611,429,89,54764,16054,89,2.37804878,46.5,25.5,Yes,Yes,Small,Hispanics Not Proportionatley Represented
Alaska,Bristol Bay,890,1.147393548,775.6710864,333,93,109,131,501,4,291,3,2,8,81,858,32,0,0,389,43.7,3.595505618,27.9,39.3,Yes,Yes,Small,Hispanics Not Proportionatley Represented
Alaska,Denali Borough,2232,0.109749744,20337.17729,639,188,205,246,1810,18,44,101,0,5,254,2223,9,0,2146,422,18.9,0.403225806,29.4,38.5,Yes,Yes,Small,Hispanics Not Proportionatley Represented
Alaska,Dillingham,4975,0.168611814,29505.64306,1420,618,443,359,875,67,3587,76,3,34,333,4802,173,6,3345,4100,82.4,3.477386935,43.5,25.3,Yes,Yes,Small,Hispanics Not Proportionatley Represented
Alaska,Fairbanks North Star,99653,8.442159825,11804.20675,36513,11191,12342,12980,75281,4493,7233,3068,561,1227,7790,91702,7951,1794,234231,24372,24.5,7.978686041,30.6,35.5,Yes,Yes,Small,Hispanics Not Proportionatley Represented
Alaska,Haines,2518,0.66734807,3773.143453,1026,392,338,296,2040,1,217,74,4,11,171,2421,97,0,950,478,19,3.852263701,38.2,28.8,Yes,Yes,Small,Hispanics Not Proportionatley Represented
Alaska,Juneau,32330,7.429419629,4351.618513,12521,2822,4245,5454,22182,325,3532,2314,320,415,3242,30207,2123,280,55278,10148,31.4,6.566656356,22.5,43.6,Yes,No,Small,Hispanics Not Proportionatley Represented
Alaska,Kenai Peninsula,58220,2.257746419,25786.77548,21741,8106,6695,6940,48489,370,4493,886,194,518,3270,55845,2375,653,130299,9731,16.7,4.079354174,37.3,31.9,Yes,Yes,Small,Hispanics Not Proportionatley Represented
Alaska,Ketchikan Gateway,13804,1.766019457,7816.448425,5327,1858,1775,1694,9219,103,2013,1062,5,143,1259,13103,701,0,12975,4585,33.2,5.078238192,34.9,31.8,Yes,Yes,Small,Hispanics Not Proportionatley Represented
Alaska,Kodiak Island,13649,1.282051287,10646.21996,4373,1195,1557,1621,7284,36,1862,3144,90,193,1040,12430,1219,6,10454,6365,46.6,8.93105722,27.3,37.1,Yes,Yes,Small,Hispanics Not Proportionatley Represented
Alaska,Kusilvak Census Area,8198,0.298295496,27482.81523,1692,1106,426,160,319,60,7480,32,2,3,302,8117,81,12,18811,7879,96.1,0.988045865,65.4,9.5,No,Yes,Small,Hispanics Not Proportionatley Represented
Alaska,Lake and Peninsula,1375,0.035740299,38471.97761,425,234,130,61,314,9,926,34,5,2,85,1356,19,0,4736,1061,77.2,1.381818182,55.1,14.4,No,Yes,Small,Hispanics Not Proportionatley Represented
Alaska,Matanuska-Susitna,103464,2.601245818,39774.78764,30879,10326,9221,11332,85927,1121,5888,1437,226,484,8381,98520,4944,520,179175,17537,16.9,4.778473672,33.4,36.7,Yes,Yes,Small,Hispanics Not Proportionatley Represented
Alaska,Nome,9925,0.268485679,36966.58988,2875,1230,993,652,1601,89,7396,160,43,23,613,9672,253,0,13707,8324,83.9,2.549118388,42.8,22.7,No,Yes,Small,Hispanics Not Proportionatley Represented
Alaska,North Slope,9797,0.068535024,142948.8076,1966,661,620,685,3099,84,5093,548,175,98,700,9590,207,6,25548,6698,68.4,2.112891702,33.6,34.8,Yes,Yes,Small,Hispanics Not Proportionatley Represented
Alaska,Northwest Arctic,7734,0.13474932,57395.466,1860,780,516,564,859,87,6382,76,0,41,289,7645,89,0,23227,6875,88.9,1.150762865,41.9,30.3,Yes,Yes,Small,Hispanics Not Proportionatley Represented
Alaska,Petersburg Borough,3255,0.697279719,4668.140939,1170,420,390,360,2346,23,237,302,17,6,324,2918,337,0,1936,909,27.9,10.35330261,35.9,30.8,Yes,Yes,Small,Hispanics Not Proportionatley Represented
Alaska,Prince of Wales-Outer Ketchikan,6474,0.764236714,8471.197315,2356,1080,771,505,3053,24,2583,76,41,24,673,6230,244,44,4437,3421,52.8,3.768921841,45.8,21.4,No,Yes,Small,Hispanics Not Proportionatley Represented
Alaska,Sitka,8738,1.891819912,4618.832873,3561,1124,1297,1140,5655,103,1118,632,8,45,1177,8172,566,0,9780,3083,35.3,6.477454795,31.6,32,Yes,Yes,Small,Hispanics Not Proportionatley Represented
Alaska,Skagway-Yakutat-Angoon,3882,1.777556577,23516.44356,1431,503,552,376,2197,83,1071,136,19,34,342,3635,247,3,3701,1685,43.4,6.362699639,35.2,26.3,,Yes,Small,Hispanics Not Proportionatley Represented
Alaska,Southeast Fairbanks,6876,0.172122372,39948.32241,2163,747,740,676,5269,47,907,156,2,140,355,6495,381,49,10436,1607,23.4,5.541012216,34.5,31.3,Yes,No,Small,Hispanics Not Proportionatley Represented
Alaska,Valdez-Cordova,9301,0.949514588,9795.531442,3093,956,1038,1099,6803,25,1188,327,57,125,776,8835,466,70,15069,2498,26.9,5.010213955,30.9,35.5,Yes,No,Small,Hispanics Not Proportionatley Represented
Alaska,Wrangell-Petersburg,2484,0.603870086,4113.467548,1074,464,364,246,1670,2,496,69,9,30,208,2363,121,0,1783,814,32.8,4.871175523,43.2,22.9,No,No,Small,Hispanics Not Proportionatley Represented
Alaska,Yukon-Koyukuk,5415,0.023113307,234280.622,1906,1118,499,289,1229,7,3820,33,0,8,318,5284,131,222,13848,4186,77.3,2.41920591,58.7,15.2,No,Yes,Small,Hispanics Not Proportionatley Represented
Arizona,Apache,71522,3.968815118,18020.99566,20395,13307,5011,2077,16362,513,52708,286,18,497,1138,67077,4445,28054,702792,55160,77.1,6.214870949,65.2,10.2,No,Yes,Small,Hispanics Not Proportionatley Represented
Arizona,Cochise,126279,12.63598415,9993.602276,49250,25311,15313,8626,107243,4734,1642,2362,464,4096,5738,81681,44598,10316,354347,19036,15.1,35.31703609,51.4,17.5,No,Yes,Small,Hispanics Proportionatley Represented
Arizona,Coconino,140217,4.680022996,29960.75022,47276,20879,15146,11251,89502,1869,37388,2908,176,3866,4508,120551,19666,27472,801130,50715,36.2,14.02540348,44.2,23.8,No,No,Small,Hispanics Not Proportionatley Represented
Arizona,Gila,53400,6.973794379,7657.237524,21708,12650,6199,2859,41095,317,8562,486,20,1133,1787,43408,9992,8852,251410,12305,23,18.71161049,58.3,13.2,No,Yes,Small,Hispanics Proportionatley Represented
Arizona,Graham,37879,5.092512321,7438.175425,10782,5226,3828,1728,29917,752,4808,246,51,996,1109,25426,12453,3643,163847,7962,21,32.8757359,48.5,16,No,No,Small,Hispanics Proportionatley Represented
Arizona,Greenlee,9504,3.205792838,2964.633238,3225,1376,1170,679,8642,213,436,29,0,163,21,5090,4414,323,15342,862,9.1,46.44360269,42.7,21.1,No,No,Small,Hispanics Proportionatley Represented
Arizona,La Paz,20701,2.860766751,7236.17191,8912,5801,2450,661,15914,170,2924,158,8,932,595,15087,5614,2399,103076,4787,23.1,27.11946283,65.1,7.4,No,Yes,Small,Hispanics Proportionatley Represented
Arizona,Maricopa,4253913,287.2900224,14807.03355,1520767,617136,477027,426604,3301814,232690,82699,176740,9405,296569,153996,2942822,1311091,514424,24619506,952099,22.4,30.82082309,40.6,28.1,Yes,No,Medium,Hispanics Proportionatley Represented
Arizona,Mohave,206064,9.604247191,21455.50775,85485,48484,25606,11395,186510,2262,4862,2512,509,4976,4433,172583,33481,35993,685808,19554,9.5,16.24786474,56.7,13.3,No,Yes,Small,Hispanics Not Proportionatley Represented
Arizona,Navajo,108705,6.788535478,16013.02672,34407,20194,9806,4407,51934,964,48328,685,87,3459,3248,96376,12329,40582,1124822,56771,52.2,11.34170461,58.7,12.8,No,Yes,Small,Hispanics Not Proportionatley Represented
Arizona,Pima,1019722,68.95728413,14787.73436,400907,196868,120963,83076,777452,35973,38200,29475,1610,88847,48165,642896,376826,105802,4283138,242270,23.8,36.95379721,49.1,20.7,No,No,Medium,Hispanics Proportionatley Represented
Arizona,Pinal,419721,48.6024541,8635.798495,137286,61655,49152,26479,336611,18782,20782,7589,1410,18046,16501,294348,125373,33481,1851359,83110,19.8,29.87055687,44.9,19.3,No,No,Medium,Hispanics Proportionatley Represented
Arizona,Santa Cruz,46584,23.41465802,1989.522971,15430,9231,4004,2195,39656,248,362,430,0,5376,512,7685,38899,9717,518190,6928,14.9,83.50291946,59.8,14.2,No,Yes,Small,Hispanics Proportionatley Represented
Arizona,Yavapai,224645,17.18410857,13072.83407,96007,47823,31404,16780,205647,1274,3202,2247,226,6477,5572,192184,32461,13117,482443,18998,8.5,14.44990986,49.8,17.5,No,No,Small,Hispanics Not Proportionatley Represented
Arizona,Yuma,207829,23.42092786,8873.645025,72463,40184,21725,10554,155842,4498,2677,2734,128,36390,5560,76159,131670,52320,2247840,51987,25,63.35496971,55.5,14.6,No,Yes,Small,Hispanics Proportionatley Represented
Arkansas,Arkansas,18124,11.40155936,1589.607126,7682,4663,1897,1122,13146,4677,18,0,0,76,207,17570,554,1412,77145,4978,27.5,3.056720371,60.7,14.6,No,Yes,Small,Hispanics Not Proportionatley Represented
Arkansas,Ashley,20537,13.78961922,1489.308709,7915,4779,2048,1088,14737,5273,50,47,0,305,125,19440,1097,1445,76802,5800,28.2,5.341578614,60.4,13.7,No,Yes,Small,Hispanics Not Proportionatley Represented
Arkansas,Baxter,41219,46.23714381,891.469425,18370,11045,4971,2354,39814,74,130,172,13,301,715,40292,927,1183,80010,1405,3.4,2.248962857,60.1,12.8,No,Yes,Small,Hispanics Not Proportionatley Represented
Arkansas,Benton,258980,189.8295379,1364.276618,94333,36226,30601,27506,227609,4359,3710,9862,1440,4495,7505,216403,42577,14002,1205965,31371,12.1,16.44026566,38.4,29.2,Yes,No,Medium,Hispanics Not Proportionatley Represented
Arkansas,Boone,37288,39.28944357,949.0589995,14870,8705,4138,2027,35843,156,290,192,36,11,760,36389,899,2838,121805,1445,3.9,2.410963313,58.5,13.6,No,Yes,Small,Hispanics Not Proportionatley Represented
Arkansas,Bradley,10948,10.47889504,1044.766644,4537,2768,1036,733,7158,3176,127,0,0,463,24,9294,1654,974,51559,3790,34.6,15.10778224,61,16.2,No,Yes,Small,Hispanics Not Proportionatley Represented
Arkansas,Calhoun,5202,5.142594646,1011.551631,1936,1075,510,351,3962,1125,7,0,10,10,88,4996,206,17,8077,1240,23.8,3.960015379,55.5,18.1,No,Yes,Small,Hispanics Not Proportionatley Represented
Arkansas,Carroll,27887,27.50781412,1013.78466,11161,6354,3442,1365,25826,335,188,334,208,417,579,23705,4182,1989,123842,2061,7.4,14.9962348,56.9,12.2,No,Yes,Small,Hispanics Not Proportionatley Represented
Arkansas,Chicot,10826,10.56077366,1025.11429,4308,2894,984,430,4733,5861,24,43,0,64,101,10246,580,2613,145557,6093,56.3,5.357472751,67.2,10,No,Yes,Small,Hispanics Not Proportionatley Represented
Arkansas,Clark,22385,16.06024681,1393.814196,8505,4952,2437,1116,15939,5374,86,156,8,506,316,21335,1050,679,66608,6446,28.8,4.690641054,58.2,13.1,No,Yes,Small,Hispanics Not Proportionatley Represented
Arkansas,Clay,15061,14.64062363,1028.71301,6441,4296,1602,543,14443,93,66,0,0,232,227,14761,300,1569,61139,618,4.1,1.991899608,66.7,8.4,No,Yes,Small,Hispanics Not Proportionatley Represented
Arkansas,Cleburne,25230,28.31354251,891.0930164,10731,6092,3177,1462,24473,140,273,152,0,42,150,24612,618,2145,68051,757,3,2.449464923,56.8,13.6,No,Yes,Small,Hispanics Not Proportionatley Represented
